,chunk_start,chunk_end,text,confidence,episode_id,chunk_number,paragraph_number
83,740.097,753.361,But the big part of solving a GI is creating benchmarks that help us get closer and closer sort of creating benchmarks that test the generalizability and it's just still interesting that this fella,0.8200000000000001,,83,32
84,753.286,759.662,Alan Turing was one of the first and probably still one of the only people that was trying.,0.91,,84,32
85,759.776,765.748,Maybe philosophically both trying to formulate a benchmark that could be followed it is even though,0.8200000000000001,,85,32
86,765.691,776.28,it's fuzzy is still sufficiently rigorous to where you can run that test and I still think something like the Turing test will end at the end of the day be the thing that truly,0.84,,86,32
87,776.215,780.44,impresses other humans so that you can have a close friend.,0.91,,87,32
88,780.662,787.047,Who's in the eye system for that friend to be a good friend they're going to have to be able to,0.74,,88,33
89,787.035,793.763,play Starcraft and they're going to have to do all of these tasks get you a beer,0.84,,89,33
90,793.697,801.748,so the core products tasks play games with you use language humor all those kinds of things but that,0.91,,90,33
91,801.565,821.778,ultimately can boil down to language it feels like in not in terms of the AI Community but in terms of the actual impact of general intelligence on the world it feels like language will be the place or truly shines I think sorry because it's such an important kind of input output for us I think you're right I think the cheering test that what the the kind of,0.8,,91,33
92,821.604,830.087,the the philosophy behind it which is the idea of can can a machine mimic the behaviors of a human.,0.9,,92,33
93,830.201,839.386,Amen and I would say wider than just language and text then you know in terms of actions and everything else creativity all these things then,0.81,,93,33
94,839.257,851.503,if it can sort of match or exceed human cognitive capabilities then I think we have a you know true intelligence so I thought from that perspective you're right I think he did formulate the right kind of setup.,0.87,,94,33
95,851.554,854.627,I just I think there will be a kind of humor.,0.72,,95,33
96,855.083,864.611,In the AI systems the future looking back to this conversation and thinking about the Turing test and also thinking about,0.81,,96,34
97,864.473,875.593,by that time they would know which year they were finally able to sort of cross the threshold of human level intelligence and think how funny it is that we humans were still,0.91,,97,34
98,875.492,885.19,confused about this whole problem have this really long ago been solved hello to the AI agents of the future anyway so good going back to your.,0.86,,98,34
99,885.286,893.481,To your journey when did you fall in love with programming first well it's pretty pretty young age actually so,0.91,,99,34
100,893.361,907.975,you know I started off actually games as my first love so starting to play chess when I was around four years old and then is actually with winnings from a chess competition that I managed to buy my first chess computer when I was about eight years old was I said expectrum.,0.86,,100,34
101,907.999,913.394,Which was hugely popular in the UK at the time and is amazing machine because,0.84,,101,34
102,913.274,918.3,I think it chant trained a whole generation of programmers in the UK because it was so accessible.,0.75,,102,34
103,918.378,923.837,You know you literally switched it on and there was the basic prompt and you could just get going and.,0.8200000000000001,,103,34
104,923.888,933.937,My parents didn't really know anything about computers so but because it was my money from a chess competition I could I could say I could I wanted to buy it and then you know I just went to bookstores.,0.85,,104,34
105,934.177,940.986,Books on programming and started typing in you know that the programming code and and then of course,0.91,,105,35
106,940.812,950.726,um once you start doing that you start adjusting it and then making your own games and that's when I fell in love with computers and realize that they were very magical device,0.91,,106,35
107,950.715,962.078,in a way I kind of it I don't want have been able to explain this at the time but I felt that they were sort of almost a magical extension of your mind I always had this feeling and I've always loved this about computers that you can set them off doing something,0.81,,107,35
108,961.967,967.183,some task for you you can go to sleep come back the next day and it's solved,0.72,,108,35
109,967.099,977.247,you know that feels a magical to me so I mean all machines do that to some extent they all enhance our natural capabilities obviously cars makers allow us to move faster than we can run.,0.91,,109,35
110,977.316,987.222,This was a machine to extend the mind and and then of course AI is the ultimate expression of what a machine may be able to do or learn,0.89,,110,35
111,987.219,994.126,so very naturally for me that thought extended into into a i quite quickly remember the the programming language.,0.87,,111,35
112,994.403,1005.667,That was first started in yes but so special to the machine oh no it was just a nice it was just a basic it was just basic on the ZX Spectrum I don't know what specific format was and then later on I got a Commodore amiga,0.8300000000000001,,112,36
113,1005.475,1006.649,quit chefs,0.52,,113,36
114,1006.457,1021.313,it was a fantastic machine now you're just showing off so yeah well lots of my friends had a Tory STS and I managed to get a me because it was a bit more powerful and and that was incredible and used to do programming in assembler and and also,0.8200000000000001,,114,36
115,1021.274,1030.757,a most basic this this this specific form of basic it was incredible actually so while all my coding skills and when did you fall in love with AI so when did you first.,0.87,,115,36
116,1031.312,1040.038,Start to gain understanding that you can not just write programs that do some mathematical operations for you while you sleep but something that's.,0.8300000000000001,,116,37
117,1040.422,1051.759,A keen to bringing an entity to life sort of a thing that can figure out something more complicated than a than a simple mathematical operation.,0.74,,117,38
118,1051.765,1057.763,Yeah so that was a few stages for me or what I was very young so first of all as I was trying to improve,0.8,,118,38
119,1057.734,1066.351,playing chess I was Captain embarrassing Regina chest teams and at the time when I was about you know maybe 10 11 years old I was going to become a professional chess player that was my first.,0.72,,119,38
120,1066.448,1080.134,I thought the dream was there to sure she'll try to get to the highest level yes so I was you know I got to when I was about 12 years old I got two masters dad and I was second highest rated player in the world to Judit Polgar who obviously ended up being,0.72,,120,38
121,1080.068,1081.421,an amazing chess player.,0.91,,121,38
122,1081.608,1090.955,And World women's champion and when I was trying to improve it chest where you know what you do is you obviously first of all you're trying to improve your own thinking processes.,0.85,,122,38
123,1091.015,1097.85,So that leads you to thinking about thinking how is your brain coming up with these ideas why is it making mistakes,0.91,,123,38
124,1097.803,1104.458,how can you how can you improve that thought process but the second thing is that you it was just the beginning this is like in the,0.84,,124,38
125,1104.446,1111.3,in the early 80s mid 80s of Chess computers if you remember they were physical balls like the one we have in front of us and Pew press down the.,0.8,,125,38
126,1111.378,1117.106,You know this the squares and I think Kasparov had a branded version of it that I got,0.8300000000000001,,126,39
127,1116.86,1132.392,and you will you know used to that they're not as strong as they are today but they were they were pretty strong and used to practice against them to try and improve your openings and other things and so I remember I think I probably got my first one was around 11 or 12 and I remember thinking,0.8200000000000001,,127,39
128,1132.164,1136.488,this amazing you know how our someone programmed this,0.79,,128,39
129,1136.305,1144.716,this chess board to play chess and it was very informative book I bought which was called the chess computer handbook by David Levy.,0.78,,129,39
130,1144.722,1157.166,His hand came out 1984 something so I must have got it when I was about 11 12 in explained fully how these chess programs are made and I remember my first day I program being programmed mi amiga it couldn't.,0.87,,130,39
131,1157.199,1165.377,It wasn't powerful enough to play chess I couldn't write a whole chess program but I wrote a program for it to play Othello with us it's sometimes called I think in the US,0.91,,131,39
132,1165.176,1175.882,and so slightly simpler game than chess but I used all of the principles that chess programs had alpha-beta total of that and that was my first AI program remember that very well is around 12 years old so that.,0.79,,132,39
133,1175.951,1184.524,That brought me into a i and then the second part was later on when I was around 16 17 and I was writing games professionally designing games,0.71,,133,39
134,1184.305,1195.327,writing a game called theme park which had a i as a co-op gameplay component as part of the simulation and it sold you know millions of copies around the world and people loved.,0.77,,134,39
135,1195.468,1203.483,The way that the AI even though it's relatively simple by today's AI standards was was reacting to the way you as the player played it.,0.87,,135,40
136,1203.561,1211.162,So I was a called a Sandbox game so it's one of the first types of games like that along with SimCity and it meant that every game you played was unique.,0.77,,136,40
137,1211.276,1219.795,Is there something you could say just a small tangent about really impressive AI from a game design.,0.91,,137,40
138,1219.999,1234.208,Human enjoyment perspective really impressive AI that you've seen in games and maybe what does it take to create a system and how hard of a problem is that so I'm a million questions we would just as a brief tangent,0.8300000000000001,,138,41
139,1234.187,1236.026,well look I think,0.77,,139,41
140,1235.96,1251.474,games games have been significant in my life for three reasons so first of all to I was playing them and training myself on games when I was a kid then I went through a phase of designing games and writing AI for games all the games I professionally wrote,0.86,,140,41
141,1251.255,1255.894,had a always a core component and that was mostly in the in the 90s.,0.8200000000000001,,141,41
142,1255.918,1262.961,And the reason I was doing that in games industry was at the time the games industry I think was The Cutting Edge of Technology.,0.8300000000000001,,142,41
143,1263.057,1276.041,So whether it was graphics with people like John Carmack and Quake and those kind of things or a I I think actually all the action was going on in games and and we seen we're still reaping the benefits of that even with things like gpus,0.8,,143,42
144,1276.038,1291.858,which you know I find ironic was obviously invented for graphics computer Graphics but then turns out to be amazingly useful for a I could just turns out everything's a matrix multiplication appear it appears they're in the wind the whole world so so I think games at the time had the most cutting-edge AI,0.89,,144,42
145,1291.639,1301.563,and a lot of the games are we you know I was involved in writing so there was a game called black and white which was one game I was involved with in the early stages of which I still think is the,0.81,,145,42
146,1301.371,1302.697,most,0.91,,146,42
147,1302.694,1315.147,impressive example of reinforcement learning in a computer game so in that game you know you trained a little pet animal and going game yeah and it's sort of learnt from how you were treating it so if you treated it badly,0.85,,147,42
148,1315.063,1325.239,then it became mean and then it would be mean to to your villagers and your and your population the sort of little tribe that you were running but if you were kind to it then it would be kind.,0.9,,148,42
149,1325.272,1333.098,And people fascinated by how that works and so as I to be honest with that the way it kind of developed and especially the mapping to Good and Evil,0.8200000000000001,,149,42
150,1333.068,1340.786,yeah he made you made you realize made me realize that you can sort of in the way in the choices you make can Define.,0.77,,150,42
151,1341.098,1347.204,The where you end up and that means all of us are capable of the good.,0.91,,151,43
152,1347.426,1354.028,Evil in all matters in the different choices along the trajectory to those places that you make,0.89,,152,43
153,1353.818,1380.009,as fascinating I mean the games can do that philosophical to you and it's rare it seems rare yeah what games I think unique medium because you as the player you're not just passively consuming the the entertainment right you're actually actively involved as an as an agent so I think that's what makes it in some ways can be more visceral than other other mediums like you know films and books so the second so that was you know designing AI in games and then the third use,0.8200000000000001,,153,43
154,1379.844,1386.805,I've we've used of AI is in D mind from the beginning which is using games as a testing ground.,0.74,,154,43
155,1386.829,1390.847,For proving out AI algorithms and developing AI algorithms.,0.91,,155,43
156,1390.889,1401.839,And that was a that was a sort of a core component of our vision at the start of deepmind was that we would use games very heavily as our main testing ground certainly to begin with.,0.9,,156,43
157,1401.872,1413.983,Um because it's super efficient to use games and also you know it's very easy to have metrics to see how well your systems are improving and what direction your ideas are going in and whether you're making incremental improvements.,0.89,,157,43
158,1414.25,1421.401,And because those games are often rooted in something that humans did for a long time beforehand there's already a strong.,0.81,,158,44
159,1421.515,1427.27,Set of rules like it's already a damn good Benchmark yes it's really good for so many reasons because you've got,0.91,,159,44
160,1427.187,1435.769,you've got you've got clear measures of how good humans can be at these things and in some cases like go we've been playing it for thousands of years,0.88,,160,44
161,1435.586,1448.498,and and often they have scores or at least wind conditions so it's very easy for reward learning systems to get a reward is very easy to specify what that reward is and also at the end it's easy to you know to test.,0.85,,161,44
162,1448.513,1453.818,Externally you know how strong is your system by of course playing against,0.91,,162,44
163,1453.788,1462.586,you know the world's strongest players at those games so it's so good for so many reasons and it's also very efficient to run potentially millions of simulations,0.91,,163,44
164,1462.52,1464.081,in parallel on the cloud.,0.91,,164,44
165,1464.132,1473.452,So I think there's a huge reason why we were so successful back in the you know starting out 2010 how come we were able to progress so quickly because,0.91,,165,44
166,1473.251,1486.82,we utilize games and you know at the beginning of the mind we also hired some amazing game Engineers who I knew from my previous lives in the games industry and and that helped a bootstrap us very quickly,0.9,,166,44
167,1486.755,1493.482,and plus it's somehow super compelling almost at a philosophical level of man versus machine.,0.86,,167,44
168,1493.893,1496.813,/ / chess board or a go board,0.6900000000000001,,168,45
169,1496.738,1506.463,and especially given that the entire history of AI is defined by people saying is going to be impossible to make a machine that beats a human being in chess.,0.8,,169,45
170,1506.821,1512.783,And then once that happened people were certain when I was coming up in AI they go.,0.89,,170,46
171,1513.095,1519.922,Is not a game that can be solved because of the combinatorial complexity is just to it's it's you know.,0.77,,171,47
172,1519.973,1528.366,No matter how much more is Li you have computers just never going to be able to crack the game of Go and so the then there's something,0.88,,172,47
173,1528.309,1536.27,compelling about facing sort of taking on the impossibility of that task from the AI.,0.8200000000000001,,173,47
174,1536.96,1543.877,Researcher perspective engineer perspective and then as a human being just observing this whole thing.,0.8200000000000001,,174,48
175,1544.648,1547.649,Beliefs about what you thought was impossible.,0.91,,175,49
176,1548.321,1555.85,Being broken apart you see it's a humbling to realize we're not as smart as we thought,0.77,,176,50
177,1555.793,1566.527,it's humbling to realize that the things we think are impossible now perhaps we'll be done in the the future there's something really powerful about a game,0.8,,177,50
178,1566.524,1575.871,AI system beanie human being in a game that drives that message home for like millions billions of people especially in the case of go sure.,0.75,,178,50
179,1576.147,1586.043,Full of I think it's a mean it has been a fascinating journey and and especially as I I think about it from I can understand it from both sides both as the AI.,0.75,,179,51
180,1586.239,1595.811,You know creators of the AI but also as a games player originally so are you know it was a it was a really interesting hours I mean it was a fantastic.,0.85,,180,51
181,1595.916,1607.703,But also somewhat Bittersweet moment the alphago match for me seeing that and and and being obviously heavily heavily involved in that but you know as you say chess has been,0.91,,181,51
182,1607.529,1617.497,the I mean Kasparov I think rightly called it the drosophila of intelligence right so it's sort of that I love that phrase and I think he's right because,0.8200000000000001,,182,51
183,1617.287,1622.971,chess has been hand in hand with a eye from the beginning of the the whole field.,0.77,,183,51
184,1623.031,1632.261,Right so I think every AI practitioner starting with touring and Claude Shannon and all those the sort of forefathers of of the field,0.8,,184,51
185,1632.132,1634.296,tried their hand at writing a chess program,0.9,,185,51
186,1634.257,1642.713,I've got an original edition of Claude Shannon's first chess program it was 1949 the per the original sort of paper,0.8300000000000001,,186,51
187,1642.548,1647.088,and they all did that and ensuring famously wrote a chess program that,0.89,,187,51
188,1646.878,1661.456,but all the computers around then we're obviously too slow to run it so you had to write he had to be the computer right so he literally I think spent two or three days running his own program by hand with pencil and paper and playing playing a friend of his with his chest program so.,0.77,,188,51
189,1661.822,1664.228,Of course deep blue was a huge moment,0.88,,189,52
190,1664.018,1682.485,beating kasbar off but actually when that happened I remember that very vividly of course because it was you know chess and computers and AI all the things I loved and I was at College at the time but I remember going away from that being more impressed by kasparov's mind then I was by deep blue because here was Kasparov,0.85,,190,52
191,1682.284,1689.489,with his human mind not only could he play chess more or less to the same level as this brute of a calculation machine but,0.91,,191,52
192,1689.351,1698.509,of course Kasparov can do everything else humans can do ride a bike talk many languages do politics all the rest of the amazing things that Kasparov does and so with the same brain,0.8300000000000001,,192,52
193,1698.326,1704.297,yeah and and yet deep blue of brilliant as it was at chess it'd been hand coded,0.88,,193,52
194,1704.213,1713.705,for chess and actually had distilled the knowledge of Chess Grandmasters into into a cool program but it couldn't do anything else,0.91,,194,52
195,1713.657,1722.788,like it can even play a strictly simpler game like tic-tac-toe so something to me was missing from intelligence from that system.,0.85,,195,52
196,1722.749,1732.087,That we would regard as intelligence and I think it was this idea of generality and and also learning so allows you to learn try to do that with alphago,0.8300000000000001,,196,53
197,1731.985,1738.695,yeah we also go and Alpha 0 mu 0 and then got on all the things that we'll get into some,0.81,,197,53
198,1738.557,1743.223,parts of there's just a fascinating trajectory here but let's just stick on chest,0.85,,198,53
199,1743.184,1756.645,briefly on The Human Side of Chess you've proposed that from a game design perspective the thing that makes chess compelling as a game is that there's a creative tension between a bishop.,0.85,,199,53
200,1756.841,1767.403,And the night can you explain this first I was really interesting to think about what makes game compelling makes it stick across centuries.,0.91,,200,54
201,1767.535,1781.069,Yeah I was sort of thinking about this and actually a lot of even amazing chess players don't think about it necessarily from a games designer point of view so it's the business with my game design hat on that I was thinking about this why is chess so compelling and I think a critical,0.8200000000000001,,201,55
202,1780.904,1782.023,reason,0.91,,202,55
203,1781.822,1791.394,is the dynamic nurse of of the different kind of Chess positions you can have whether they're closed or open and other things comes from the bishop in the night so if you think about how,0.8300000000000001,,203,55
204,1791.337,1792.384,different,0.91,,204,55
205,1792.328,1802.143,the the capabilities of the bishop and Knight are in terms of the way they move and then somehow chess has evolved to balance those two capabilities more or less equally,0.8300000000000001,,205,55
206,1801.933,1820.769,so that both roughly were three points each so you think their Dynamics is always there and then the rest of the rules are kind of trying to stabilize the game well maybe I mean it's sort of I don't eat chicken and egg situation probably both came together but the fact that there is got to this beautiful equilibrium where you can have the bishop or Knight they're so different in power but,0.8200000000000001,,206,55
207,1820.604,1824.757,so equal in value across the set of the universe of all positions.,0.9,,207,55
208,1824.817,1834.839,Right somehow they've been balanced by Humanity over hundreds of years I think gives gives the game the creative tension that you can swap the bishop and nights,0.89,,208,55
209,1834.629,1846.893,Fred a bishop for an eye and you've there more or less the worth the same but now you aim for a different type of position if you have the night you want a closed position if you have the bishop you want an open position so I think that creates a lot of the creative tension in chess,0.77,,209,55
210,1846.773,1851.781,so some kind of controlled creative tension from an AI perspective.,0.91,,210,55
211,1851.805,1856.832,Do you think AI systems could Venture design games that are optimally compelling to humans.,0.88,,211,55
212,1857.468,1866.68,Well that's an interesting question you know sometimes I get asked about Ai and creativity and and this and the way I answered that is relevant to that question which is that I think they're different,0.84,,212,56
213,1866.632,1872.928,levels of creativity one could say so I think if we Define creativity as coming up with something original,0.89,,213,56
214,1872.871,1879.634,right that's that's useful for a purpose then you know I think the kind of lowest level of creativity is like an interpolation,0.85,,214,56
215,1879.56,1891.364,so an averaging of all the examples you see so maybe very basic AI system could say you could have that so you show it millions of pictures of cats and then you say give me an average looking cat right generate me an average-looking cat,0.88,,215,56
216,1891.334,1900.123,I would call that interpolation then there's extrapolation which something like alphago showed so alphago played you know millions of games of go against itself.,0.9,,216,56
217,1900.157,1906.875,And then it came up with brilliant new ideas like move 37 in game to Britain Motif strategies and go.,0.84,,217,56
218,1906.926,1914.914,That no humans had ever thought of even though we've played it for thousands of years and professionally for hundreds of years so that that I call that extrapolation,0.84,,218,56
219,1914.731,1923.034,but then that's still there still a level above that which is you know you could call out-of-the-box thinking or true Innovation which is could you invent go.,0.86,,219,56
220,1923.176,1933.423,Did you invent chess and not just come up with a brilliant chess move or brilliant go move but can you can you actually invent chess or something as good as chess or go and I think one day.,0.89,,220,57
221,1933.483,1938.914,A I could but the what's missing is how would you even specify that task too,0.84,,221,57
222,1938.749,1948.754,a program right now and the way I would do it if I was best toiling a human to do a tour games designer to human games designer to do it is I would say something like go I would say.,0.78,,222,57
223,1949.156,1955.812,Come up with a game that only takes 5 minutes to learn which go dies because got simple rules but many lifetimes to master.,0.85,,223,58
224,1955.926,1964.508,Right or impossible to master in one lifetime because it's so deep and so complex and then it's aesthetically beautiful and also,0.79,,224,58
225,1964.334,1972.754,it can be completed in three or four hours of gameplay time which is you know useful for our us you know in a human day and so,0.8200000000000001,,225,58
226,1972.634,1981.963,you might specify these side of high-level Concepts like that and then you know with that and maybe a few other things one could imagine that go satisfies,0.86,,226,58
